\s+	$0
\x22	'
\x23	ञ्च्
\x24	
\x26	।
\x3c	₹
\x3E	
\x40	\x{093d}
\x41	अ
\x42	इ
\x43	उ
\x44	ऊ
\x45	ए
\x46	ऋ	not exact conversion but no equivalent in Unicode
\x47	ऋ
\x48	क
\x49	ख
\x4a	ग
\x4b	घ
\x4c	ङ
\x4d	च
\x4e	छ
\x4f	ज
\x50	झ
\x51	ट
\x52	ठ
\x53	ड
\x54	ढ
\x55	ण
\x56	त
\x57	थ
\x58	द
\x59	ध
\x5a	न	
\x5b	ε
\x5c	फ
\x5d	ेρμ
\x5e	भ
\x5f	म
\x60	य
\x61	र
\x62	ल
\x63	ल
\x64	व
\x65	श
\x66	ष
\x67	स
\x68	ह
\x69	ळ
\x6a	क्ष
\x6b	ज्ञ
\x6c	श्र
\x6d	ा
\x6e	प
\x6f	े
\x70	ε
\x71	εμ
\x72	ी
\x73	ी
\x74	ीं
\x75	ीρ
\x76	ीρμ
\x77	ु
\x78	ु
\x79	ू
\x7a+	ू
\x7b	ε
\x7c	ें
\x7d	ेρ
\x7e	ब
\xa1	ै
\xa2	ैं
\xa3	ैρ
\xa4	ैρμ
\xa5	ृ
\xa6	ृ
\xa7	ं
\xa8	ं
\xa9	ρ
\xaa	ρμ
\xab	Ρ
\xac	ङ्क्ष
\xad	
\xae	Ρु
\xaf	Ρू
\xb2	्	ερμ
\xb0	ॅ
\xb1	ँ	
\xb2	्
\xb3	्न
\xb4	Ρ
\xb5	़
\xb6	ङ्म
\xb8	क्क
\xb9	क्व
\xba	क्त
\xbb	ख्
\xbc	ख्र
\xbd	ग्
\xbe	ग्न
\xbf	घ्
\xc0	च्
\xc1	ज्
\xc2	झ्
\xc3	झ्र
\xc4	ञ्
\xc5	ट्ट
\xc6	ट्ठ
\xc7	ठ्ठ
\xc8	ड्ड
\xc9	ढ्ढ
\xca	ण्
\xcb	त्
\xcc	त्र
\xcd	त्र्
\xce	त्त्
\xcf	थ्
\xd0	द्र
\xd1	द्ट
\xd2	द्ग
\xd3	द्ध
\xd4	द्द
\xd5	द्ध
\xd6	द्न
\xd7	द्ब
\xd8	द्भ
\xd9	द्म
\xda	द्य
\xdb	द्व
\xdc	ध्
\xdd	न्
\xde	न्न
\xdf	प्
\xe0	प्र
\xe1	प्त
\xe2	फ्
\xe3	ब्
\xe4	भ्
\xe5	म्
\xe6	य्
\xe7	्य
\xe8	ज्
\xe9	रु
\xea	रू
\xeb	ल्
\xec	व्
\xed	श्
\xee	ष्
\xef	ष्ट
\xf0	ष्ठ
\xf1	स्
\xf2	स्र
\xf3	स्त्र
\xf4	ह्
\xf5	ह्र
\xf6	हृ
\xf7	ह्म
\xf8	ह्य
\xf9	ळ
\xfa	क्ष्
\xfb	श्
\xfc	श्च
\xfd	श्न
\xfe	ु
\xff	ू
\x{00b2}	्
\x{0152}	Ρ
\x{0153}	श्व
\x{0160}	क्
\x{0161}	\x{0952}
\x{0178}	
\x{0192}	च्च
\x{02c6}	ह्व
\x{02db}	्
\x{02dc}	ख़
\x{C5A0}	क्
\x{2013}	ड्ढ
\x{2014}	Ρ
\x{2018}	ङ्क
\x{2019}	ङ्फ
\x{201a}	ज्ज्
\x{201c}	ङ्ग
\x{201d}	ङ्घ
\x{201e}	ल्ल
\x{2020}	ह्ण
\x{2021}	ह्ल
\x{2022}	ह्न
\x{2026}	\x{0903}
\x{2030}	्व
\x{2039}	़
\x{203a}	\x{0950}
\x{2122}	ख़्
(.)	$1
